bloc_membership_id,person_id,bloc_id,assembly_id,start_date,end_date,role,is_founding_member,dates_bracketed,notes,source_ids
BLM-8bfec7323098,TNP-00021,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-4ec4edfe7fd4,TNP-00022,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-b39d33377002,TNP-00023,BLC-06a0c0449bb5,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-8c6d88f407fd,TNP-00024,BLC-06a0c0449bb5,ARP-2023,2025-12-16,,vice_speaker,,,,ARP_ODOO
BLM-197d190160e8,TNP-00024,BLC-06a0c0449bb5,ARP-2023,2023-05-11,2025-12-15,unknown,,,,ARP_ODOO
BLM-82178003b8bf,TNP-00025,BLC-f20b0575249e,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-ebecbbdcf8d0,TNP-00026,BLC-b8dae4f6e993,ARP-2023,2024-12-10,,unknown,,,,ARP_ODOO
BLM-f0c3ab4ac3fe,TNP-00026,BLC-ac812da9c161,ARP-2023,2023-05-11,2024-12-09,unknown,,,,ARP_ODOO
BLM-8b2eaddf6cf1,TNP-00027,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-d7df2ad3d28d,TNP-00028,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-0bced130013f,TNP-00029,BLC-f20b0575249e,ARP-2023,2024-12-10,,unknown,,,,ARP_ODOO
BLM-a934a0c5dad2,TNP-00029,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2024-12-09,unknown,,,,ARP_ODOO
BLM-6085f11001d6,TNP-00030,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-4af42e45488c,TNP-00031,BLC-2f472b0a03ed,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-509c30021c5c,TNP-00032,BLC-06a0c0449bb5,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-5f2a83a0e211,TNP-00033,BLC-f20b0575249e,ARP-2023,2024-12-10,,unknown,,,,ARP_ODOO
BLM-8f1150176019,TNP-00033,BLC-b8dae4f6e993,ARP-2023,2024-10-29,2024-12-09,unknown,,,,ARP_ODOO
BLM-3c6609f185d8,TNP-00033,BLC-f20b0575249e,ARP-2023,2023-05-11,2024-10-28,unknown,,,,ARP_ODOO
BLM-d0b0efd31b9f,TNP-00034,BLC-2f472b0a03ed,ARP-2023,2026-01-19,,unknown,,,,ARP_ODOO
BLM-c58685414284,TNP-00034,BLC-2f472b0a03ed,ARP-2023,2024-12-20,2026-01-19,unknown,,,,ARP_ODOO
BLM-7d6ff5887ec6,TNP-00034,BLC-2f472b0a03ed,ARP-2023,2023-05-11,2024-12-19,unknown,,,,ARP_ODOO
BLM-40add446221f,TNP-00035,BLC-2f472b0a03ed,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-53d6ed66924c,TNP-00036,BLC-ae732a4efe54,ARP-2023,2024-10-29,,unknown,,,,ARP_ODOO
BLM-8300f9a84601,TNP-00036,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2024-10-28,unknown,,,,ARP_ODOO
BLM-0913efe42f12,TNP-00037,BLC-06a0c0449bb5,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-6ddc5636f14d,TNP-00038,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-ff02399e235b,TNP-00039,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-699b160a3ce2,TNP-00040,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-d05e19965103,TNP-00041,BLC-ae732a4efe54,ARP-2023,2023-07-21,,unknown,,,,ARP_ODOO
BLM-ad60b1751bd6,TNP-00041,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2023-07-21,unknown,,,,ARP_ODOO
BLM-0439311e1b2b,TNP-00042,BLC-2f472b0a03ed,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-f4004b211eb3,TNP-00043,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-bc3ee3ecb8e1,TNP-00044,BLC-ac812da9c161,ARP-2023,2023-05-10,,unknown,,,,ARP_ODOO
BLM-7b81602fcb79,TNP-00045,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-5de20cace3d9,TNP-00046,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-ea97fe05376e,TNP-00047,BLC-ac812da9c161,ARP-2023,2024-10-29,,unknown,,,,ARP_ODOO
BLM-ed63cf18b0d4,TNP-00047,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2024-10-28,unknown,,,,ARP_ODOO
BLM-f8a5bc3713d7,TNP-00048,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-216b724907b4,TNP-00049,BLC-2f472b0a03ed,ARP-2023,2026-02-12,,unknown,,,,ARP_ODOO
BLM-71d5be83c92e,TNP-00049,BLC-2f472b0a03ed,ARP-2023,2023-05-11,2026-02-11,vice_speaker,,,,ARP_ODOO
BLM-34f9ccdea76e,TNP-00050,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-7605955b3535,TNP-00051,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-47c9bd4da7e5,TNP-00052,BLC-06a0c0449bb5,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-9ed15742b3ed,TNP-00053,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-64b586389ae3,TNP-00054,BLC-ae732a4efe54,ARP-2023,2025-12-16,,unknown,,,,ARP_ODOO
BLM-bf96544093a3,TNP-00054,BLC-ae732a4efe54,ARP-2023,2023-05-11,2025-12-15,speaker,,,,ARP_ODOO
BLM-4975e48ff1ed,TNP-00055,BLC-06a0c0449bb5,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-2c85ceb27b45,TNP-00056,BLC-06a0c0449bb5,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-bd25328ad9c0,TNP-00057,BLC-ae732a4efe54,ARP-2023,2024-10-29,,unknown,,,,ARP_ODOO
BLM-89a17f7f8edf,TNP-00057,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2024-10-28,unknown,,,,ARP_ODOO
BLM-15db29ee219c,TNP-00058,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-c0ddd1e73226,TNP-00059,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-58409c0ea36d,TNP-00060,BLC-139983161a87,ARP-2023,2023-07-17,,unknown,,,,ARP_ODOO
BLM-ba7f6333d0d2,TNP-00060,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2023-07-17,unknown,,,,ARP_ODOO
BLM-7dfdc3a5f03a,TNP-00061,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-0b8595039cc4,TNP-00062,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-eaa1b627381d,TNP-00063,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-53d5631326b0,TNP-00064,BLC-2f472b0a03ed,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-af04bb1b3f72,TNP-00065,BLC-06a0c0449bb5,ARP-2023,2025-12-16,,unknown,,,,ARP_ODOO
BLM-05924f9b8c35,TNP-00065,BLC-06a0c0449bb5,ARP-2023,2023-05-11,2025-12-15,speaker,,,,ARP_ODOO
BLM-1e9906fc14d2,TNP-00066,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-c647a83f2fd0,TNP-00067,BLC-2f472b0a03ed,ARP-2023,2024-12-20,,unknown,,,,ARP_ODOO
BLM-8a804cbc6d11,TNP-00067,BLC-2f472b0a03ed,ARP-2023,2023-05-11,2024-12-19,speaker,,,,ARP_ODOO
BLM-40a806fa1086,TNP-00068,BLC-f20b0575249e,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-914bca12f502,TNP-00069,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-8d6ebb119aee,TNP-00070,BLC-b8dae4f6e993,ARP-2023,2026-01-19,,unknown,,,,ARP_ODOO
BLM-c7951503740d,TNP-00070,BLC-ae732a4efe54,ARP-2023,2023-05-11,2026-01-18,unknown,,,,ARP_ODOO
BLM-77581a50a0c9,TNP-00071,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-988cd73a9e03,TNP-00072,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-8457778abf90,TNP-00073,BLC-ae732a4efe54,ARP-2023,2026-01-19,,unknown,,,,ARP_ODOO
BLM-0065407193e7,TNP-00073,BLC-b8dae4f6e993,ARP-2023,2025-10-07,2026-01-18,unknown,,,,ARP_ODOO
BLM-8472a2c38e57,TNP-00074,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-995cb50bb3bd,TNP-00075,BLC-139983161a87,ARP-2023,2023-07-05,,unknown,,,,ARP_ODOO
BLM-91b0dce9b7ca,TNP-00075,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2023-07-04,unknown,,,,ARP_ODOO
BLM-da194895cb67,TNP-00076,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-a3f0c892d073,TNP-00077,BLC-2f472b0a03ed,ARP-2023,2026-01-19,,speaker,,,,ARP_ODOO
BLM-98fb5df4de87,TNP-00077,BLC-2f472b0a03ed,ARP-2023,2023-05-11,2026-01-18,unknown,,,,ARP_ODOO
BLM-12fc94c146b0,TNP-00078,BLC-f20b0575249e,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-f96013b627b9,TNP-00079,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-2448fce8d1e9,TNP-00080,BLC-f20b0575249e,ARP-2023,2024-10-29,,speaker,,,,ARP_ODOO
BLM-cd3883aa8dc4,TNP-00080,BLC-f20b0575249e,ARP-2023,2023-10-17,2024-10-28,speaker,,,,ARP_ODOO
BLM-eab4200c0b40,TNP-00080,BLC-f20b0575249e,ARP-2023,2023-05-11,2024-10-23,unknown,,,,ARP_ODOO
BLM-dc1da3133ece,TNP-00081,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-0e4003825490,TNP-00082,BLC-ac812da9c161,ARP-2023,2023-05-10,,unknown,,,,ARP_ODOO
BLM-92119b98c145,TNP-00083,BLC-06a0c0449bb5,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-fb4701a53334,TNP-00084,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-3db2cbdb84e8,TNP-00085,BLC-2f472b0a03ed,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-88d41ba3da3a,TNP-00086,BLC-b8dae4f6e993,ARP-2023,2024-10-29,,unknown,,,,ARP_ODOO
BLM-0b58713077b2,TNP-00086,BLC-06a0c0449bb5,ARP-2023,2023-05-11,2024-10-28,unknown,,,,ARP_ODOO
BLM-314d642f7bb9,TNP-00087,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-7631b83751e9,TNP-00088,BLC-06a0c0449bb5,ARP-2023,2025-12-16,,speaker,,,,ARP_ODOO
BLM-013a63ad0ee6,TNP-00088,BLC-06a0c0449bb5,ARP-2023,2023-05-11,2025-12-15,unknown,,,,ARP_ODOO
BLM-509d97a5ca90,TNP-00089,BLC-f20b0575249e,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-bf40d7fc55bc,TNP-00090,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-8e046f34870a,TNP-00091,BLC-ae732a4efe54,ARP-2023,2023-05-11,2026-03-09,unknown,,,,ARP_ODOO
BLM-6c9825c82393,TNP-00092,BLC-ae732a4efe54,ARP-2023,2024-10-29,,unknown,,,,ARP_ODOO
BLM-95fa3ef46439,TNP-00092,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2024-10-28,unknown,,,,ARP_ODOO
BLM-fb8ae13cdb52,TNP-00093,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-400c91fa3fb2,TNP-00094,BLC-139983161a87,ARP-2023,2023-05-11,,speaker,,,,ARP_ODOO
BLM-c016e784f179,TNP-00095,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-ff365d3fd284,TNP-00096,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-79596451dcc0,TNP-00097,BLC-2f472b0a03ed,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-62a9199187c4,TNP-00098,BLC-ac812da9c161,ARP-2023,2024-10-29,,unknown,,,,ARP_ODOO
BLM-b1b1b38ee652,TNP-00098,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2024-10-28,unknown,,,,ARP_ODOO
BLM-67ca3f95c22e,TNP-00099,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-432c84710975,TNP-00100,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-dacef4ba53d7,TNP-00101,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-f3c91d19fed5,TNP-00102,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-9a29d2e6b671,TNP-00103,BLC-ae732a4efe54,ARP-2023,2025-12-16,,vice_speaker,,,,ARP_ODOO
BLM-dd5e6b51aa74,TNP-00103,BLC-ae732a4efe54,ARP-2023,2023-05-11,2025-12-15,unknown,,,,ARP_ODOO
BLM-9dc49731b609,TNP-00104,BLC-06a0c0449bb5,ARP-2023,2025-12-16,,unknown,,,,ARP_ODOO
BLM-d9841e8be4a0,TNP-00104,BLC-06a0c0449bb5,ARP-2023,2025-01-08,2025-12-15,vice_speaker,,,,ARP_ODOO
BLM-7e0ae33ba316,TNP-00104,BLC-06a0c0449bb5,ARP-2023,2023-05-11,2025-01-07,unknown,,,,ARP_ODOO
BLM-ab1ededfb246,TNP-00105,BLC-06a0c0449bb5,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-9c9bf566f2b0,TNP-00106,BLC-ae732a4efe54,ARP-2023,2024-10-29,2025-03-13,unknown,,,,ARP_ODOO
BLM-55a77df0de2c,TNP-00106,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2024-10-28,unknown,,,,ARP_ODOO
BLM-faed46169980,TNP-00107,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-f43a016097fb,TNP-00108,BLC-ae732a4efe54,ARP-2023,2024-11-10,,unknown,,,,ARP_ODOO
BLM-db0b4c6ffc08,TNP-00108,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2024-11-09,unknown,,,,ARP_ODOO
BLM-00e88e87f63a,TNP-00109,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-60600de48277,TNP-00110,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-50256f9abd85,TNP-00111,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-f0e648df2ccd,TNP-00112,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-09eb80e1ad7a,TNP-00113,BLC-2f472b0a03ed,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-e80207072df3,TNP-00114,BLC-b8dae4f6e993,ARP-2023,2026-01-19,,unknown,,,,ARP_ODOO
BLM-a9c3592e45c7,TNP-00114,BLC-ae732a4efe54,ARP-2023,2023-05-11,2026-01-18,unknown,,,,ARP_ODOO
BLM-e7ba84e218c1,TNP-00115,BLC-f20b0575249e,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-7c3afedc2cd9,TNP-00116,BLC-2f472b0a03ed,ARP-2023,2024-10-29,,unknown,,,,ARP_ODOO
BLM-b54454d1df13,TNP-00116,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2024-10-28,unknown,,,,ARP_ODOO
BLM-8234cda7ec7c,TNP-00117,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-b2cc5f09e1b6,TNP-00118,BLC-ac812da9c161,ARP-2023,2025-12-16,,unknown,,,,ARP_ODOO
BLM-9e59c1e23344,TNP-00118,BLC-b8dae4f6e993,ARP-2023,2025-10-07,2025-12-15,unknown,,,,ARP_ODOO
BLM-c06679633b86,TNP-00119,BLC-06a0c0449bb5,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-2ac7556d61af,TNP-00120,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-d355aed11bc6,TNP-00121,BLC-b8dae4f6e993,ARP-2023,2024-07-30,,unknown,,,,ARP_ODOO
BLM-9296406370c6,TNP-00121,BLC-ac812da9c161,ARP-2023,2023-05-11,2024-07-29,vice_speaker,,,,ARP_ODOO
BLM-760e5a64bc18,TNP-00122,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-5cc72f3bb4ed,TNP-00123,BLC-139983161a87,ARP-2023,2023-07-21,,unknown,,,,ARP_ODOO
BLM-7a34219993a9,TNP-00123,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2023-07-21,unknown,,,,ARP_ODOO
BLM-681eaba0ff79,TNP-00124,BLC-ac812da9c161,ARP-2023,2024-10-29,,vice_speaker,,,,ARP_ODOO
BLM-959d304d171c,TNP-00124,BLC-ac812da9c161,ARP-2023,2023-05-11,2024-10-28,unknown,,,,ARP_ODOO
BLM-dae79aa1f708,TNP-00125,BLC-ae732a4efe54,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-98a45794158e,TNP-00126,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-5e41c837e335,TNP-00127,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-b85a8654635d,TNP-00128,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-a4b0eb7b924c,TNP-00129,BLC-f20b0575249e,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-9b5299f2fd64,TNP-00130,BLC-b8dae4f6e993,ARP-2023,2024-10-29,,unknown,,,,ARP_ODOO
BLM-8bb7ee1a5ce3,TNP-00130,BLC-06a0c0449bb5,ARP-2023,2023-05-11,2024-10-28,unknown,,,,ARP_ODOO
BLM-c2fd3234c425,TNP-00131,BLC-f20b0575249e,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-d2dbf55ee0b3,TNP-00132,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-ff95c2342609,TNP-00133,BLC-2f472b0a03ed,ARP-2023,2026-02-12,,vice_speaker,,,,ARP_ODOO
BLM-6408b11fc55d,TNP-00133,BLC-2f472b0a03ed,ARP-2023,2025-02-03,2026-02-11,unknown,,,,ARP_ODOO
BLM-6734e9b75481,TNP-00133,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2025-02-03,unknown,,,,ARP_ODOO
BLM-470f74753532,TNP-00134,BLC-b8dae4f6e993,ARP-2023,2024-12-10,,unknown,,,,ARP_ODOO
BLM-56735d5b6138,TNP-00134,BLC-f20b0575249e,ARP-2023,2023-05-11,2024-12-09,unknown,,,,ARP_ODOO
BLM-1343a3a8eca8,TNP-00135,BLC-f20b0575249e,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-7ba0f8af4bd8,TNP-00136,BLC-139983161a87,ARP-2023,2023-07-17,,vice_speaker,,,,ARP_ODOO
BLM-aff172ef3369,TNP-00136,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2023-07-17,unknown,,,,ARP_ODOO
BLM-ea4dad170307,TNP-00137,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-2ccea8239cc7,TNP-00138,BLC-06a0c0449bb5,ARP-2023,2025-01-08,,unknown,,,,ARP_ODOO
BLM-d3c59bcb9fa5,TNP-00138,BLC-06a0c0449bb5,ARP-2023,2023-05-11,2025-01-07,vice_speaker,,,,ARP_ODOO
BLM-b38c9fcd5e05,TNP-00139,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-41bd7b017e94,TNP-00140,BLC-2f472b0a03ed,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-091668a8de87,TNP-00141,BLC-06a0c0449bb5,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-9b90bc36a3ba,TNP-00142,BLC-ac812da9c161,ARP-2023,2023-05-11,,speaker,,,,ARP_ODOO
BLM-2b50874839d8,TNP-00143,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-25db7f8a96f7,TNP-00144,BLC-2f472b0a03ed,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-79a180de628a,TNP-00145,BLC-ac812da9c161,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-68b62e6525a1,TNP-00146,BLC-2f472b0a03ed,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-a1ecf8f09ae8,TNP-00147,BLC-b8dae4f6e993,ARP-2023,2024-02-28,,unknown,,,,ARP_ODOO
BLM-6dd7ae135d33,TNP-00147,BLC-06a0c0449bb5,ARP-2023,2023-05-11,2024-02-27,unknown,,,,ARP_ODOO
BLM-493f79bbd662,TNP-00148,BLC-06a0c0449bb5,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-40f965ecc5f6,TNP-00149,BLC-2f472b0a03ed,ARP-2023,2024-10-29,,unknown,,,,ARP_ODOO
BLM-ac7b940cd928,TNP-00149,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2024-10-28,unknown,,,,ARP_ODOO
BLM-169ba974490d,TNP-00150,BLC-f20b0575249e,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-66b1b93e52a9,TNP-00151,BLC-ae732a4efe54,ARP-2023,2025-02-25,,unknown,,,,ARP_ODOO
BLM-3ceebd8def2f,TNP-00151,BLC-b8dae4f6e993,ARP-2023,2023-05-30,2025-02-24,unknown,,,,ARP_ODOO
BLM-5bad680d835a,TNP-00152,BLC-f20b0575249e,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-51e047ca9bea,TNP-00153,BLC-139983161a87,ARP-2023,2023-05-11,,unknown,,,,ARP_ODOO
BLM-afd2c9fe5801,TNP-00154,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-47f0f6bafa19,TNP-00155,BLC-b8dae4f6e993,ARP-2023,2023-05-30,,unknown,,,,ARP_ODOO
BLM-587f0e70e475,TNP-00156,BLC-0e7903100c2b,ARP-2019,2019-11-13,,unknown,,,,MARSAD_MAJLES
BLM-980e1db5732e,TNP-00157,BLC-96b9db640002,ARP-2019,2019-11-13,,unknown,,,,MARSAD_MAJLES
BLM-1595e729833e,TNP-00158,BLC-ed7ba04997c5,ARP-2019,2019-11-13,,unknown,,,,MARSAD_MAJLES
BLM-073b2f69020d,TNP-00159,BLC-0e7903100c2b,ARP-2019,2019-11-13,,unknown,,,,MARSAD_MAJLES
BLM-3c25bb18c4a5,TNP-00080,BLC-6814972dda22,ARP-2019,2019-11-13,,unknown,,,,MARSAD_MAJLES
BLM-ac513cd549fa,TNP-00160,BLC-30ebf47cb8e2,ARP-2019,2019-11-13,,unknown,,,,MARSAD_MAJLES
